Comment,Designator,Footprint,LCSC
Conn_01x08,"J1,J6",Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical,C240845
300,R1,R_0402_1005Metric,C25102
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical,C358684
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,C358685
Conn_01x08,"J2,J7",PinHeader_1x08_P2.54mm_Vertical,C358689
Conn_02x04_Counter_Clockwise,J3,PinHeader_2x04_P2.54mm_Vertical,C358693
LED,D1,LED_0805_2012Metric,C84256
TestPoint,TP7,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP5,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP6,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP8,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP4,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP12,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP9,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP11,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP10,TestPoint_Keystone_5010-5014_Multipurpose,
