Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,82.065,-75.438,0,top
C2,0.1uF,C_0402_1005Metric,77.47,-78.336,270,top
C3,0.1uF,C_0402_1005Metric,79.271,-75.438,180,top
C4,NP,C_0402_1005Metric,85.852,-78.74,180,top
C5,NP,C_0402_1005Metric,85.875,-74.676,180,top
C6,NP,C_0402_1005Metric,110.236,-61.191,270,top
C7,NP,C_0402_1005Metric,108.204,-61.191,270,top
C8,NP,C_0402_1005Metric,102.235,-78.209,270,top
C9,NP,C_0402_1005Metric,103.632,-78.255,270,top
C10,NP,C_0402_1005Metric,94.996,-60.429,90,top
C11,NP,C_0402_1005Metric,106.957,-66.548,180,top
C12,NP,C_0402_1005Metric,98.552,-60.348,90,top
C13,NP,C_0402_1005Metric,100.457,-60.348,90,top
C_1.1_IN1,10 uF,C_0402_1005Metric,83.312,-60.221,90,top
C_1.1_OUT1,100 uF,C_0402_1005Metric,85.621,-61.976,0,top
C_1.8_IN1,10 uF,C_0402_1005Metric,83.82,-63.777,270,top
C_1.8_OUT1,100 uF,C_0402_1005Metric,81.511,-61.976,180,top
L1,2.2 uH,L_Wuerth_MAPI-2010,79.248,-63.283,270,top
L2,2.2 uH,L_Wuerth_MAPI-2010,87.884,-60.743,90,top
R1,NP,R_0402_1005Metric,106.957,-65.024,0,top
R2,R_Small_US,R_0402_1005Metric,109.705,-63.246,180,top
R3,R_Small_US,R_0402_1005Metric,109.705,-65.278,0,top
R4,0 Ohm,R_0402_1005Metric,96.774,-60.475,270,top
U1,scum3,QFN-100_EP_12x12_Pitch0.4mm_Margin0.25mm,96.52,-68.638,0,top
U9AB1,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,80.645,-78.486,180,top
