Comment,Designator,Footprint,LCSC
Conn_02x11_Odd_Even,J1,PinHeader_2x11_P2.54mm_Vertical,C18198006
S-85S1AB18-I6T1U,U2,SOFL50P180X50-6N,C2072355
S-85S1AB11-I6T1U,U3,SOFL50P180X50-6N,C2072358
R_Small_US,R2,R_0402_1005Metric,C276270
R_Small_US,R3,R_0402_1005Metric,C29381
0.1uF,"C1,C2,C3",C_0402_1005Metric,C307331
10 uF,"C_1.1_IN1,C_1.1_OUT1,C_1.8_IN1,C_1.8_OUT1",C_0402_1005Metric,C315248
Conn_02x10_Odd_Even,J2,PinHeader_2x10_P2.54mm_Vertical,C492427
73391-0060,J4,MOLEX_73391-0060,C496549
Conn_01x10,J3,PinHeader_1x10_P2.54mm_Vertical,C57369
2.2 uH,"L1,L2",L_Wuerth_MAPI-2010,C96796
scum3,U1,QFN-100_EP_12x12_Pitch0.4mm_Margin0.25mm,C9900053212
NP,C5,C_0402_1005Metric,
NP,C8,C_0402_1005Metric,
NP,C11,C_0402_1005Metric,
NP,C12,C_0402_1005Metric,
NP,C13,C_0402_1005Metric,
NP,R1,R_0402_1005Metric,
through_hole,GND1,through_hole,
through_hole,GND6,through_hole,
through_hole,J5,through_hole,
through_hole,J6,through_hole,
through_hole,J7,through_hole,
through_hole,J9,through_hole,
through_hole,J10,through_hole,
through_hole,J11,through_hole,
through_hole,J12,through_hole,
through_hole,J15,through_hole,
through_hole,J16,through_hole,
through_hole,J17,through_hole,
through_hole,J13,through_hole,
through_hole,J18,through_hole,
through_hole,J20,through_hole,
through_hole,J21,through_hole,
through_hole,GND5,through_hole,
ICM-20948,U9AB1,InvenSense_QFN-24_3x3mm_P0.4mm,
through_hole,GND4,through_hole,
NP,C7,C_0402_1005Metric,
through_hole,J19,through_hole,
NP,C6,C_0402_1005Metric,
through_hole,J14,through_hole,
through_hole,GND3,through_hole,
NP,C4,C_0402_1005Metric,
NP,C9,C_0402_1005Metric,
through_hole,GND2,through_hole,
0 Ohm,R4,R_0402_1005Metric,
NP,C10,C_0402_1005Metric,
through_hole,J8,through_hole,
BH1000G,B1,BH1000G,
