Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,BH1000G,BH1000G,98.6409,-67.31,270.0,bottom
C1,0.1uF,C_0402_1005Metric,82.065,-75.438,0.0,top
C10,NP,C_0402_1005Metric,94.996,-60.429,90.0,top
C11,NP,C_0402_1005Metric,106.957,-66.548,180.0,top
C12,NP,C_0402_1005Metric,98.552,-60.348,90.0,top
C13,NP,C_0402_1005Metric,100.457,-60.348,90.0,top
C2,0.1uF,C_0402_1005Metric,77.47,-78.336,-90.0,top
C3,0.1uF,C_0402_1005Metric,79.271,-75.438,180.0,top
C4,NP,C_0402_1005Metric,85.852,-78.74,180.0,top
C5,NP,C_0402_1005Metric,85.875,-74.676,180.0,top
C6,NP,C_0402_1005Metric,110.236,-61.191,-90.0,top
C7,NP,C_0402_1005Metric,108.204,-61.191,-90.0,top
C8,NP,C_0402_1005Metric,102.235,-78.209,-90.0,top
C9,NP,C_0402_1005Metric,103.632,-78.255,-90.0,top
C_1.1_IN1,1 uF,C_0402_1005Metric,88.0,-59.7,0.0,top
C_1.1_OUT1,10 uF,C_0402_1005Metric,87.5,-61.6,-90.0,top
C_1.8_IN1,1 uF,C_0402_1005Metric,83.9,-64.1,-90.0,top
C_1.8_OUT1,10 uF,C_0402_1005Metric,78.7,-64.1,90.0,top
GND1,through_hole,through_hole,98.552,-77.724,0.0,top
GND2,through_hole,through_hole,84.328,-76.708,0.0,top
GND3,through_hole,through_hole,90.678,-76.962,0.0,top
GND4,through_hole,through_hole,107.188,-62.992,0.0,top
GND5,through_hole,through_hole,106.68,-74.422,0.0,top
GND6,through_hole,through_hole,106.68,-59.944,0.0,top
J1,Conn_02x11_Odd_Even,PinHeader_2x11_P2.54mm_Vertical,97.155,-55.753,90.0,top
J10,through_hole,through_hole,104.648,-67.564,0.0,top
J11,through_hole,through_hole,86.106,-75.946,0.0,top
J12,through_hole,through_hole,86.106,-77.216,0.0,top
J13,through_hole,through_hole,88.646,-78.232,0.0,top
J14,through_hole,through_hole,91.186,-60.198,0.0,top
J15,through_hole,through_hole,103.759,-66.675,0.0,top
J16,through_hole,through_hole,105.156,-66.548,0.0,top
J17,through_hole,through_hole,108.585,-73.533,0.0,top
J18,through_hole,through_hole,92.456,-60.198,0.0,top
J19,through_hole,through_hole,93.726,-60.198,0.0,top
J2,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,96.52,-83.058,90.0,top
J20,through_hole,through_hole,104.14,-62.738,0.0,top
J21,through_hole,through_hole,108.585,-70.993,0.0,top
J3,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,114.3,-68.834,0.0,top
J4,73391-0060,MOLEX_73391-0060,82.804,-69.469,0.0,top
J5,through_hole,through_hole,104.267,-64.135,0.0,top
J6,through_hole,through_hole,88.8,-63.6,0.0,top
J7,through_hole,through_hole,87.1,-64.1,0.0,top
J8,through_hole,through_hole,85.2,-64.5,0.0,top
J9,through_hole,through_hole,104.902,-68.58,0.0,top
R1,NP,R_0402_1005Metric,106.957,-65.024,0.0,top
R2,R_Small_US,R_0402_1005Metric,109.705,-63.246,180.0,top
R3,R_Small_US,R_0402_1005Metric,109.705,-65.278,0.0,top
R4,0 Ohm,R_0402_1005Metric,96.774,-60.475,-90.0,top
U1,scum3,QFN-100_EP_12x12_Pitch0.4mm_Margin0.25mm,96.52,-68.638,0.0,top
U2,TLV74318PDBV,SOT-23-5,81.3,-62.6,180.0,top
U3,TLV74311PDBV,SOT-23-5,85.25,-60.8625,-90.0,top
U9AB1,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,80.645,-78.486,180.0,top
